author,text,hashtags,likes,retweets,replies,views,created_at,url
aespa,"aespa  에스파 'Dirty Work' INTRO     https:// aespa  에스파 〖Dirty Work〗  
➫ 2025.06.27 1PM (KST) http:// #aespa #æspa #에스파 #DirtyWork #aespaDirtyWork","#aespa,#æspa,#에스파,#DirtyWork,#aespaDirtyWork",37692,35013,2092,963511,2025-06-04T15:00:43.000Z,https://x.com/aespa_official/status/1930278546850885811
Pop Base,aespa  announces their comeback with ‘Dirty Work.’ Out June 27th.,,5347,2233,176,95299,2025-06-04T15:02:13.000Z,https://x.com/PopBase/status/1930278928167444616
·,"aespa 's title track logos, 2020-2025.",,4065,1712,46,35706,2025-06-04T15:03:10.000Z,https://x.com/aesdrama/status/1930279165002957015
