author,text,hashtags,likes,retweets,replies,views,created_at,url
Madrid Zone,CHILL GUY . ,,3351,158,23,65327,2025-06-04T13:20:08.000Z,https://x.com/theMadridZone/status/1930253237921427944
Madrid Xtra,Dean Huijsen -  CHILL GUY . ,,3275,107,28,70050,2025-06-04T13:20:47.000Z,https://x.com/MadridXtra/status/1930253397682467047
RawG,"I see this area as a new range.  Right now  Chillguy  looks like at the bottom of the range and forming a small double bottom.  Eventually we should get back to the middle of the range and then I expect a slow grind.

This is just a time to  chill  and focus on something else while",,4,1,4,46,2025-06-04T15:21:29.000Z,https://x.com/Raughg/status/1930283774379532519
