author,text,hashtags,likes,retweets,replies,views,created_at,url
B,우락부락왕큰애들이 열쩡잇게하는  나니가 스키 하는거 너믜조아서지금입찢어짐,,0,0,0,0,2025-05-31T14:15:09.000Z,https://x.com/tellmewhatul1ke/status/1928817530774475230
pindori. (fan acc),250528 ASEA 떠누짱~~♡♡♡ 나니가 스키 ???♡♡ #ENHYPEN #엔하이픈 #선우 #SUNOO,"#ENHYPEN,#엔하이픈,#선우,#SUNOO",0,0,0,0,2025-05-28T12:14:42.000Z,https://x.com/Pindori0624/status/1927700055319855196
·,"최팀 주여싱  나니가 스키  ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋ
근데 이제 이 챌린지를 제대로 이해 한 사람은 셩리밖에 없는 거 같음",,0,0,0,0,2025-05-30T16:56:47.000Z,https://x.com/jiajoha/status/1928495817675125232
시엘키오,"적어도 입은 솔직하네~히잇~와~ 나니 에게 달이 직접 찾아와 서빙했고,
‘ 나니가 스키 ’( 나니가  좋아해) 챌린지에 딱 맞춰서 
“입은 솔직하네” → 고백 같은 멘트 실토 인정?
달은 서빙하러 오고, 입은 본심 흘리고, 팬들은 정신 못 차리고..
둘이 왜 저러냐고?!! 우리 어쩌라고!! #SkyNani #สกายนานิ","#SkyNani,#สกายนาน",0,0,0,0,2025-06-03T11:59:38.000Z,https://x.com/madeskynani/status/1929870587838845020
이시,250531 석과비니  나니가 스키,,0,0,0,0,2025-05-31T02:50:33.000Z,https://x.com/3unnrock/status/1928645243286503617
점팔,쿠마쨩~ 하이~ 나니가 스키 ~ 초코민또 요리모  니 대가리~,,0,0,0,0,2025-06-04T12:06:28.000Z,https://x.com/jnp0818/status/1930234698644762809
나난nanan2,재쥰  나니가 스키,,0,0,0,0,2025-05-31T11:19:32.000Z,https://x.com/nanan2_twt/status/1928773333136359602
휴,나니가 스키  준나 열심히 찍었길래 부끄러워서 그런줄알았더니 더 잘할수있는데 결과물이 아쉬웠던거였음 ㅠㅠㅠㅠㅠㅠㅠㅠ 성찬 너 이런거에도 욕심부린다고 ♡ ♡ ♡,,0,0,0,0,2025-05-31T14:32:37.000Z,https://x.com/JSC_huuuuu/status/1928821923569430679
멜,"헐  나니가 스키  챌린지 조합 매니저 가  정해줬다는데?

매니저님 앞으로도 젠성 렛츠고.",,0,0,0,0,2025-05-27T08:32:28.000Z,https://x.com/_423205/status/1927281737765212426
삼이,"강민희  나니가 스키  챌린지
>하 이!< 하는 부분 ㄴㅁ잘살려

카메라 밖으로 팔 나갈 정도로 손 뻗음ㅋㅋㅋㅋㅋㅋ",,0,0,0,0,2025-05-28T14:31:47.000Z,https://x.com/tkatka_333/status/1927734551503048869
시누용화,됐다!!!씨엔블루  나니가 스키  왔다!!!!!,,0,0,0,0,2025-06-01T12:21:59.000Z,https://x.com/sweetieYH/status/1929151439906955517
