author,text,hashtags,likes,retweets,replies,views,created_at,url,date,hour,day_of_week,day_abbr,text_clean,engagement_score
·,"aespa 's title track logos, 2020-2025.",,4065,1712,46,35706,2025-06-04 15:03:10+00:00,https://x.com/aesdrama/status/1930279165002957015,2025-06-04,15,2,WED,"aespa 's title track logos, 2020-2025.",11059.6
Pop Base,aespa  announces their comeback with ‘Dirty Work.’ Out June 27th.,,5347,2233,176,95299,2025-06-04 15:02:13+00:00,https://x.com/PopBase/status/1930278928167444616,2025-06-04,15,2,WED,aespa announces their comeback with ‘Dirty Work.’ Out June 27th.,19342.9
aespa,"aespa  에스파 'Dirty Work' INTRO     https:// aespa  에스파 〖Dirty Work〗  
➫ 2025.06.27 1PM (KST) http:// #aespa #æspa #에스파 #DirtyWork #aespaDirtyWork","#aespa,#æspa,#에스파,#DirtyWork,#aespaDirtyWork",37692,35013,2092,963511,2025-06-04 15:00:43+00:00,https://x.com/aespa_official/status/1930278546850885811,2025-06-04,15,2,WED,aespa 에스파 'Dirty Work' INTRO https:// aespa 에스파 〖Dirty Work〗 ➫ 2025.06.27 1PM (KST) http:// #aespa #æspa #에스파 #DirtyWork #aespaDirtyWork,204069.1
